date,macro_regime_confirmed,monthly_either_state,VIX_ZSCORE_120D,D_CREDIT_SPREAD_20D,CMDTY_RET60,FLAT_VIX_STRESS,FLAT_CREDIT_DD5_STRESS,STEEP_EITHER_SELL_STRESS,STEEP_CREDIT_DD5_STRESS,STEEP_CMDTY_RET60_NEG10,BACKBONE_V2_ENTRY_SIGNAL,R3_RECOVERY,full_risk_state,steep_slow_growth_overlay_state
2006-03-16,INVERTED,HOLD,-0.3647569529354537,-0.0600000000000005,0.00917431192660545,False,False,False,False,False,False,False,NON_RISK,False
2006-03-17,INVERTED,HOLD,-0.2639021096272286,-0.0600000000000005,0.00917431192660545,False,False,False,False,False,False,False,NON_RISK,False
2006-03-20,INVERTED,HOLD,-0.48304713761464707,-0.04999999999999982,-0.019495412844036775,False,False,False,False,False,False,False,NON_RISK,False
2006-03-21,INVERTED,HOLD,-0.5923616331191573,-0.04999999999999982,-0.009747706422018276,False,False,False,False,False,False,False,NON_RISK,False
2006-03-22,INVERTED,HOLD,-0.8624672545254416,-0.04999999999999982,-0.01628441766861377,False,False,False,False,False,False,False,NON_RISK,False
2006-03-23,INVERTED,HOLD,-0.8808815930302408,-0.04999999999999982,0.0038991105665855397,False,False,False,False,False,False,False,NON_RISK,False
2006-03-24,INVERTED,HOLD,-0.860908726403853,-0.03000000000000025,0.008027522935780018,False,False,False,False,False,False,False,NON_RISK,False
2006-03-27,INVERTED,HOLD,-0.6706155141021165,-0.03000000000000025,0.008027522935780018,False,False,False,False,False,False,False,NON_RISK,False
2006-03-28,INVERTED,HOLD,-0.579939725069563,-0.03000000000000025,0.025229357798165264,False,False,False,False,False,False,False,NON_RISK,False
2006-03-29,INVERTED,HOLD,-0.991018965349093,-0.03000000000000025,0.034403669724770714,False,False,False,False,False,False,False,NON_RISK,False
2006-03-30,INVERTED,HOLD,-0.5562136998410632,-0.03000000000000025,0.04587155963302747,False,False,False,False,False,False,False,NON_RISK,False
2006-03-31,INVERTED,HOLD,-0.6671542040079473,0.0,0.04013761467889898,False,False,False,False,False,False,False,NON_RISK,False
2006-04-03,FLAT,HOLD,-0.529738321414026,0.0,0.044724770642201594,False,False,False,False,False,False,False,NON_RISK,False
2006-04-04,FLAT,HOLD,-0.8249684467871258,0.0,0.035550458715596145,False,False,False,False,False,False,False,NON_RISK,False
2006-04-05,FLAT,HOLD,-0.8281932314739767,0.0,0.046330303227135605,False,False,False,False,False,False,False,NON_RISK,False
2006-04-06,FLAT,HOLD,-0.5821617646289039,0.0,0.0543578261629154,False,False,False,False,False,False,False,NON_RISK,False
2006-04-07,FLAT,HOLD,0.06803743687086662,-0.009999999999999787,0.048623881208787134,False,False,False,False,False,False,False,NON_RISK,False
2006-04-10,FLAT,HOLD,0.029311056038104893,-0.009999999999999787,0.06766055045871555,False,False,False,False,False,False,False,NON_RISK,False
2006-04-11,FLAT,HOLD,0.7188046740578935,-0.009999999999999787,0.07247707821907245,False,False,False,False,False,False,False,NON_RISK,False
2006-04-12,FLAT,HOLD,0.5269027380028076,-0.009999999999999787,0.07568807339449513,False,False,False,False,False,False,False,NON_RISK,False
2006-04-13,FLAT,HOLD,0.24772738126539715,-0.009999999999999787,0.08532112891520915,False,False,False,False,False,False,False,NON_RISK,False
2006-04-17,FLAT,HOLD,0.4740747204664329,-0.009999999999999787,0.10435779816513757,False,False,False,False,False,False,False,NON_RISK,False
2006-04-18,FLAT,HOLD,-0.606702148806717,-0.009999999999999787,0.12706420618459724,False,False,False,False,False,False,True,NON_RISK,False
2006-04-19,FLAT,HOLD,-0.6720270822455333,-0.009999999999999787,0.13899083968696235,False,False,False,False,False,False,False,NON_RISK,False
2006-04-20,FLAT,HOLD,-0.34696816745677495,-0.009999999999999787,0.1307339449541285,False,False,False,False,False,False,False,NON_RISK,False
2006-04-21,FLAT,HOLD,-0.3872006993288468,-0.040000000000000036,0.1490825688073396,False,False,False,False,False,False,False,NON_RISK,False
2006-04-24,FLAT,HOLD,-0.19860435959473324,-0.040000000000000036,0.12614678899082588,False,False,False,False,False,False,False,NON_RISK,False
2006-04-25,FLAT,HOLD,-0.17658553463642118,-0.040000000000000036,0.12500000000000044,False,False,False,False,False,False,False,NON_RISK,False
2006-04-26,FLAT,HOLD,-0.14208810870469243,-0.040000000000000036,0.11467889908256934,False,False,False,False,False,False,False,NON_RISK,False
