from_allocation_state,to_allocation_state,transition_count,total_turnover,average_turnover,median_turnover,mean_strategy_return_next_5d,mean_strategy_return_next_20d,mean_SPY_return_next_5d,mean_SPY_return_next_20d,share_of_total_turnover
FLAT_HIGH_RATE_NORMAL,FLAT_HIGH_RATE_STRESS,6,6.0,1.0,1.0,0.0007978225170012787,-0.014273134240842237,0.009474698495561077,-0.0010784916495632697,0.09703580746077883
FLAT_HIGH_RATE_STRESS,FLAT_HIGH_RATE_NORMAL,6,6.0,1.0,1.0,-0.0037501791107412696,0.009830183573320475,0.006733455116690712,0.025657160249563642,0.09703580746077883
FLAT_LOW_RATE_NORMAL,FLAT_LOW_RATE_STRESS,6,6.0,1.0,1.0,0.004266344045292618,0.014879388901791838,-0.017434056974339602,-0.02831219364129071,0.09703580746077883
FLAT_LOW_RATE_STRESS,FLAT_LOW_RATE_NORMAL,4,4.0,1.0,1.0,0.000535205642996861,0.025171874331674476,0.016260611378309975,0.03548593192964555,0.0646905383071859
FLAT_HIGH_RATE_STRESS,FLAT_LOW_RATE_STRESS,3,3.0,1.0,1.0,0.00040967017259293154,0.012408599122316991,0.001025651217013294,0.010222593642433534,0.04851790373038942
FLAT_LOW_RATE_STRESS,FLAT_HIGH_RATE_STRESS,3,3.0,1.0,1.0,0.0025606874982922654,0.012029614836723638,-0.019939721424148942,-0.016550264895551375,0.04851790373038942
STEEP_HIGH_RATE_NORMAL,FLAT_LOW_RATE_NORMAL,8,2.6571245547678974,0.3321405693459872,0.3170913420058013,0.0028846241992124266,0.006326775526132644,0.0019200603586700948,0.0019502326867530673,0.042972704449294234
INVERTED_NORMAL,FLAT_HIGH_RATE_NORMAL,4,2.1450041914871507,0.5362510478717877,0.5288950100327539,0.0018964303083667255,0.03536243180639054,0.007641069406240486,0.015370481382364326,0.03469036895461846
STEEP_HIGH_RATE_STRESS,STEEP_HIGH_RATE_NORMAL,2,2.0,1.0,1.0,-0.0011602033613830054,0.035173327055942616,0.007758925454842691,0.04722067496961535,0.03234526915359295
STEEP_LOW_RATE_STRESS,STEEP_LOW_RATE_NORMAL,5,2.0,0.4,0.4,0.004852532044366508,0.014518782436699195,0.004852532044366508,0.014518782436699195,0.03234526915359295
STEEP_LOW_RATE_NORMAL,STEEP_LOW_RATE_STRESS,5,2.0,0.4,0.4,-0.007847658745823183,0.019461533251969643,-0.016336515434693787,0.01827333761486103,0.03234526915359295
